publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4249";"1";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7348";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3134";"";"";"";"";"";"0.708160";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4250";"2";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7349";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3135";"";"";"";"";"";"0.708100";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4251";"3";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7350";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3136";"";"";"";"";"";"0.707820";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4252";"4";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7351";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3137";"";"";"";"";"";"0.707900";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4253";"5";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7352";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3138";"";"";"";"";"";"0.708100";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4254";"6";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7353";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3139";"";"";"";"";"";"0.708068";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4255";"7";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7354";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3140";"";"";"";"";"";"0.708527";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4256";"8";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7355";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3141";"";"";"";"";"";"0.708622";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4257";"9";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7356";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3142";"";"";"";"";"";"0.708160";"";""
"Al-Shorman and El-Khouri 2011";"Barsinia";"Rural cemetery";"Jordan";"Irbid Governorate";"Irbid";"32.5588950";"35.8475730";"80";"580";"4258";"10";"Animal";"300";"800";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mammalia";"Rodentia";"";"";"";"";"";"";"";"";"7357";"Tooth";"Enamel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3143";"";"";"";"";"";"0.708129";"";""
