publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6390";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"Triticum";"";"7428";"Shaft";"";"";"";"";"";"10243";"-22.9";"16.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6391";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Vicia";"Vicia faba";"7429";"Shell";"";"";"";"";"";"10244";"-23.1";"12.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6392";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"Hordeum";"";"7430";"Shaft";"";"";"";"";"";"10245";"-23.3";"14.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6393";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Vitaceae";"Vitis";"Vitis vinifera";"7431";"Seed";"";"";"";"";"";"10246";"-22.5";"16.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6394";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Oleaceae";"Olea";"Olea europaea";"7432";"Seed";"";"";"";"";"";"10247";"-21.9";"18.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6395";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Arecaceae";"Phoenix";"Phoenix dactylifera";"7433";"Seed";"";"";"";"";"";"10248";"-22.2";"14.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6396";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Moraceae";"Ficus";"Ficus carica";"7434";"Stem";"";"";"";"";"";"10249";"-23.8";"17.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6397";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Arecaceae";"Hyphaene";"Hyphaene thebaica";"7435";"Seed";"";"";"";"";"";"10250";"-26.4";"11.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6398";"";"Plant";"300";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"";"";"7436";"Organic";"";"";"";"";"";"10251";"-9.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6399";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Pisum";"Pisum sativum";"7437";"Leaf";"";"";"";"";"";"10252";"-27.8";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
